Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,PTS,TOV,PF
TOT,D.J.Augustin,PG,1.413156303,-0.273782719,0.486204967,0.087223707,0.28483752,-0.26329543,0.561311395,0.64655818,-0.113202539,0.019533451,-0.208185233,-0.080772904,0.72590741,0.478229051,0.840886898,-0.821747938,-0.481449274,-0.578653515,1.398596899,-0.077304326,-0.837274886,0.319757918,0.857284276,-0.800329731
DET,D.J.Augustin,PG,0.315252753,-0.3123445,0.464297476,0.291477784,0.427238052,-0.156385781,0.408865121,0.532133992,0.173547861,0.277295815,-0.078846432,-0.080772904,1.13385434,0.870988235,0.850610552,-0.821747938,-0.541595786,-0.6215143,1.736189254,-0.077304326,-0.837274886,0.526361405,1.114944509,-0.800329731
OKC,D.J.Augustin,PG,-0.704229115,-0.775085867,0.508112459,-0.219157408,-0.023696965,-0.535429084,0.866203943,0.875406556,-0.572003178,-0.467351014,-0.642394066,-0.09043005,-0.171575836,-0.307289315,0.806854112,-0.696229893,-0.361156248,-0.492931945,0.723412189,-0.077304326,-0.837274886,-0.093449057,0.213133695,-0.800329731
SAS,JeffAyres,PF,0.19762023,-0.813647648,-1.321163062,-0.934046676,-1.139167796,1.486135197,-0.963151343,-1.069804639,-0.686703337,-0.839674429,1.112918237,1.039456047,-0.661112153,-0.700048498,0.267191355,-0.194157713,-0.541595786,-0.45007116,-0.852018801,-1.00925092,-0.367592895,-0.957427276,-0.817507236,-0.664116749
NOP,LukeBabbitt,SF,0.668150323,-0.080973816,-0.696799561,-0.729792599,-0.878100155,0.514229293,0.408865121,-0.039986947,-1.030803817,-1.040156268,-0.272854634,1.560941939,-0.905880311,-0.961887953,-0.053689204,-0.821747938,-0.541595786,-0.664375084,-0.795753408,-0.776264272,-0.367592895,-0.694477383,-0.946337352,-0.936542712
CHI,CameronBairstow,PF,-1.096337526,-0.775085867,-1.748359142,-1.393618348,-1.400235437,-2.061321353,-0.963151343,-1.069804639,-1.202854056,-1.154717319,-2.259129081,-2.485402292,-0.905880311,-0.961887953,0.510282687,-0.696229893,-1.443793475,-1.264426072,-0.964549585,-1.242237569,-0.60243389,-1.351852115,-1.203997585,-1.753820602
GSW,LeandroBarbosa,SG,0.785782846,-0.775085867,-0.510585885,-0.06596685,-0.213564341,0.465633997,0.103972574,-0.097199041,-0.113202539,-0.180948388,0.484701202,0.566255887,-0.334754608,-0.438209043,0.43249346,-0.696229893,-0.902474862,-0.835818224,-0.176834091,-0.077304326,-0.60243389,-0.131013327,-0.559847003,-0.527903767
DAL,J.J.Barea,PG,1.217102097,-0.428029842,-0.203881007,-0.014903331,0.071236723,-0.059195191,0.103972574,0.188861429,-0.055852459,-0.009106812,0.041253884,-0.013172881,-0.253165222,-0.372749179,0.554039126,-0.696229893,-0.661888811,-0.707235869,0.892208367,-0.543277623,-0.837274886,-0.055884786,-0.302186771,-0.391690786
NYK,AndreaBargnani,C,-0.665018274,0.034711526,0.825771082,1.414875205,1.352841507,0.271252817,-0.200919974,-0.268835323,1.607299858,1.766589474,0.068969341,0.035112849,1.378622498,1.263747418,0.573486433,0.307914467,0.480894928,0.450005322,-0.120568698,-1.242237569,1.276294074,1.315211083,0.341963811,0.153161141
GSW,HarrisonBarnes,SF,1.413156303,2.348418364,0.95721603,0.49573186,0.308570942,0.54338647,0.713757669,0.417709804,0.28824802,0.162734764,0.558609089,0.740084517,-0.008397064,0.020010004,0.121336555,0.684468601,0.962067029,0.921473955,-0.233099483,0.155682323,-0.367592895,0.432450729,-0.302186771,0.153161141
LAC,MattBarnes,SF,1.177891256,2.039924119,1.13247596,0.342541303,0.356037786,0.174062226,1.780881586,1.733587966,-0.227902698,-0.438710752,1.020533379,0.788370248,-0.253165222,-0.307289315,0.408184327,-0.194157713,0.480894928,0.278562182,-0.176834091,0.62165562,0.806612083,0.432450729,-0.044526538,2.060142883
