Tm,Player,Pos,G,,GS,,MP,,FG,,FGA,,FGPercent,,3P,,3PA,,2P,,2PA,,2PPercent,,eFGPercent,,FT,,FTA,,FTPercent,,ORB,,DRB,,TRB,,AST,,STL,,BLK,,TOV,,PF,,PTS, 
DET,Joel Anthony,C,49,0.119198548,0,-0.813647648,8.3,-1.233533097,0.7,-1.138300752,1.3,-1.281568328,0.581,1.505573315,0,-0.963151343,0,-1.069804639,0.7,-0.916103657,1.3,-1.011516005,0.581,1.131395208,0.581,1.05877034,0.3,-0.824290925,0.4,-0.89642809,0.682,-0.063412857,0.7,-0.194157713,1.2,-0.782181837,1.9,-0.6215143,0.1,-0.964549585,0.2,-1.00925092,1,1.51113507,0.2,-1.203997585,1.1,-0.800329731,1.8,-1.126466493
ATL,Pero Antic,PF,63,0.668150323,3,-0.697962306,16.5,-0.335325955,1.7,-0.627665561,4.7,-0.474631982,0.365,-0.593743438,0.8,0.256418848,2.7,0.474921898,0.9,-0.801403497,2,-0.811034166,0.455,-0.032654003,0.453,-0.177344366,1.4,0.073192322,2,0.150929732,0.715,0.097027422,0.9,0.056878377,2.1,-0.240863223,3,-0.150045666,0.8,-0.570691838,0.3,-0.776264272,0.2,-0.367592895,0.8,-0.431016887,2.1,0.561800085,5.7,-0.39396322
HOU,Trevor Ariza,SF,82,1.413156303,82,2.348418364,35.7,1.767793206,4.5,0.802112975,11.1,1.044307022,0.402,-0.234138253,2.4,2.695559229,6.8,2.820617752,2.1,-0.113202539,4.3,-0.152308125,0.485,0.244500571,0.509,0.363455818,1.5,0.154781708,1.7,-0.045449859,0.853,0.767959499,0.9,0.056878377,4.7,1.322946104,5.6,0.96433474,2.5,0.385819834,1.9,2.951522107,0.2,-0.367592895,1.7,0.72845416,2.3,0.834226049,12.8,0.939568379
DEN,Darrell Arthur,PF,58,0.472096117,4,-0.659400525,17,-0.280557227,2.7,-0.11703037,6.6,-0.023696965,0.404,-0.214700135,0.4,-0.353366248,1.9,0.017225147,2.2,-0.055852459,4.7,-0.037747074,0.471,0.11516177,0.438,-0.322201558,0.8,-0.416343994,1,-0.503668906,0.78,0.413046154,0.9,0.056878377,2,-0.301009736,2.9,-0.192906451,1,-0.458161053,0.8,0.388668971,0.4,0.102089096,0.8,-0.431016887,2.5,1.106652012,6.6,-0.224924003
NOP,Omer Asik,C,76,1.177891256,76,2.11704768,26.1,0.716233626,2.8,-0.06596685,5.4,-0.308498028,0.517,0.883553536,0,-0.963151343,0,-1.069804639,2.8,0.28824802,5.4,0.162734764,0.517,0.540132117,0.517,0.440712987,1.7,0.31796048,3,0.805528371,0.582,-0.549595521,3.2,2.94379341,6.6,2.465729843,9.8,2.764487704,0.9,-0.514426446,0.4,-0.543277623,0.7,0.806612083,1.3,0.213133695,1.9,0.289374122,7.3,-0.093449057
TOT,D.J. Augustin,PG,82,1.413156303,14,-0.273782719,24,0.486204967,3.1,0.087223707,7.9,0.28483752,0.399,-0.26329543,1,0.561311395,3,0.64655818,2.1,-0.113202539,4.9,0.019533451,0.436,-0.208185233,0.463,-0.080772904,2.2,0.72590741,2.5,0.478229051,0.868,0.840886898,0.2,-0.821747938,1.7,-0.481449274,2,-0.578653515,4.3,1.398596899,0.6,-0.077304326,0,-0.837274886,1.8,0.857284276,1.1,-0.800329731,9.5,0.319757918
DET,D.J. Augustin,PG,54,0.315252753,13,-0.3123445,23.8,0.464297476,3.5,0.291477784,8.5,0.427238052,0.41,-0.156385781,0.9,0.408865121,2.8,0.532133992,2.6,0.173547861,5.8,0.277295815,0.45,-0.078846432,0.463,-0.080772904,2.7,1.13385434,3.1,0.870988235,0.87,0.850610552,0.2,-0.821747938,1.6,-0.541595786,1.9,-0.6215143,4.9,1.736189254,0.6,-0.077304326,0,-0.837274886,2,1.114944509,1.1,-0.800329731,10.6,0.526361405
OKC,D.J. Augustin,PG,28,-0.704229115,1,-0.775085867,24.2,0.508112459,2.5,-0.219157408,6.6,-0.023696965,0.371,-0.535429084,1.2,0.866203943,3.4,0.875406556,1.3,-0.572003178,3.2,-0.467351014,0.389,-0.642394066,0.462,-0.09043005,1.1,-0.171575836,1.3,-0.307289315,0.861,0.806854112,0.3,-0.696229893,1.9,-0.361156248,2.2,-0.492931945,3.1,0.723412189,0.6,-0.077304326,0,-0.837274886,1.3,0.213133695,1.1,-0.800329731,7.3,-0.093449057
SAS,Jeff Ayres,PF,51,0.19762023,0,-0.813647648,7.5,-1.321163062,1.1,-0.934046676,1.9,-1.139167796,0.579,1.486135197,0,-0.963151343,0,-1.069804639,1.1,-0.686703337,1.9,-0.839674429,0.579,1.112918237,0.579,1.039456047,0.5,-0.661112153,0.7,-0.700048498,0.75,0.267191355,0.7,-0.194157713,1.6,-0.541595786,2.3,-0.45007116,0.3,-0.852018801,0.2,-1.00925092,0.2,-0.367592895,0.5,-0.817507236,1.2,-0.664116749,2.7,-0.957427276
NOP,Luke Babbitt,SF,63,0.668150323,19,-0.080973816,13.2,-0.696799561,1.5,-0.729792599,3,-0.878100155,0.479,0.514229293,0.9,0.408865121,1.8,-0.039986947,0.5,-1.030803817,1.2,-1.040156268,0.429,-0.272854634,0.633,1.560941939,0.2,-0.905880311,0.3,-0.961887953,0.684,-0.053689204,0.2,-0.821747938,1.6,-0.541595786,1.8,-0.664375084,0.4,-0.795753408,0.3,-0.776264272,0.2,-0.367592895,0.4,-0.946337352,1,-0.936542712,4.1,-0.694477383
