Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,KennethFaried,PF,75,71,27.8,5,9.8,0.507,0,0.1,5,9.7,0.511,0.507,2.7,3.8,0.691,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6
LAC,JordanFarmar,PG,36,0,14.7,1.7,4.4,0.386,1,2.7,0.7,1.7,0.426,0.497,0.3,0.3,0.909,0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6
UTA,DerrickFavors,PF,74,74,30.8,6.5,12.4,0.525,0,0.1,6.5,12.3,0.527,0.526,3,4.5,0.669,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16
DAL,RaymondFelton,PG,29,3,9.7,1.5,3.7,0.406,0.3,1.2,1.1,2.5,0.458,0.453,0.4,0.5,0.8,0.1,0.8,0.9,1.4,0.4,0.1,0.6,0.6,3.7
TOR,LandryFields,SF,26,9,8.3,0.8,1.6,0.488,0,0.1,0.7,1.5,0.487,0.5,0.2,0.2,0.833,0.4,0.6,1,0.6,0.4,0,0.3,0.3,1.8
ORL,EvanFournier,SG,58,32,28.6,4.4,9.9,0.44,1.5,3.9,2.9,6,0.48,0.514,1.8,2.5,0.728,0.5,2.2,2.6,2.1,0.7,0,1.4,2,12
DEN,RandyFoye,SG,50,21,21.7,3,8,0.368,1.9,5.3,1.1,2.8,0.388,0.485,0.9,1.1,0.818,0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7
DEN,JamaalFranklin,SG,3,0,4.3,0.3,0.7,0.5,0.3,0.7,0,0,0,0.75,0,0,0,0.3,0.3,0.7,1,0,0.3,1,1.3,1
TOT,TimFrazier,PG,11,3,21.7,1.9,5.5,0.344,0.5,1.5,1.5,4,0.364,0.385,0.9,1.9,0.476,0.5,2,2.5,5.5,0.7,0,2.3,2.4,5.2
PHI,TimFrazier,PG,6,3,28.5,2.2,7.2,0.302,0.5,1.8,1.7,5.3,0.313,0.337,0.8,2.5,0.333,0.7,2.5,3.2,7.2,1,0,3,2.7,5.7
POR,TimFrazier,PG,5,0,13.6,1.6,3.6,0.444,0.4,1.2,1.2,2.4,0.5,0.5,1,1.2,0.833,0.4,1.4,1.8,3.4,0.4,0,1.4,2,4.6
NOP,JimmerFredette,PG,50,0,10.2,1.3,3.3,0.38,0.2,1,1.1,2.4,0.458,0.407,0.9,0.9,0.956,0.2,0.6,0.8,1.2,0.3,0,0.7,0.9,3.6
POR,JoelFreeland,C,48,8,12.9,1.5,3.1,0.49,0,0,1.5,3.1,0.49,0.49,0.4,0.5,0.84,1.3,2.7,4,0.3,0.2,0.5,0.5,1.9,3.5
ORL,ChanningFrye,PF,75,51,24.9,2.5,6.5,0.392,1.8,4.6,0.7,1.9,0.39,0.532,0.4,0.5,0.886,0.4,3.5,3.9,1.3,0.6,0.5,1,2.5,7.3
DEN,DaniloGallinari,SF,59,27,24.2,3.9,9.6,0.401,1.8,5.1,2.1,4.5,0.453,0.496,2.9,3.2,0.895,0.5,3.2,3.7,1.4,0.8,0.3,1,1.6,12.4
NYK,LangstonGalloway,PG,45,41,32.4,4.5,11.4,0.399,1.4,3.9,3.2,7.4,0.424,0.46,1.4,1.7,0.808,0.8,3.4,4.2,3.3,1.2,0.3,1.4,2.9,11.8
HOU,FranciscoGarcia,SF,14,0,14.3,1.2,4.5,0.27,0.7,3.2,0.5,1.3,0.389,0.349,0.1,0.3,0.25,0.2,1,1.2,1.1,0.6,0.4,0.7,1.4,3.2
TOT,KevinGarnett,PF,47,47,20.3,3,6.5,0.467,0,0.1,3,6.4,0.475,0.469,0.8,1,0.8,1,5.6,6.6,1.6,1,0.4,1,2.3,6.9
BRK,KevinGarnett,PF,42,42,20.3,3,6.5,0.455,0,0.1,3,6.4,0.461,0.456,0.8,1,0.829,1.1,5.7,6.8,1.6,1,0.3,1.1,2.3,6.8
MIN,KevinGarnett,PF,5,5,19.6,3.6,6.2,0.581,0,0.2,3.6,6,0.6,0.581,0.4,0.8,0.5,0.4,4.8,5.2,1.6,1,0.8,0.2,2.6,7.6
MEM,MarcGasol,C,81,81,33.2,6.5,13.2,0.494,0,0.2,6.5,13,0.5,0.496,4.3,5.4,0.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4
CHI,PauGasol,PF,78,78,34.4,7.3,14.8,0.494,0.2,0.3,7.2,14.4,0.495,0.5,3.8,4.7,0.803,2.8,9,11.8,2.7,0.3,1.9,2,1.9,18.5
SAC,RudyGay,SF,68,67,35.4,7.5,16.4,0.455,1.2,3.2,6.3,13.2,0.479,0.491,5,5.8,0.858,1.4,4.4,5.9,3.7,1,0.6,2.7,2.3,21.1
TOT,AlonzoGee,SF,54,2,12.3,1.6,3.4,0.468,0.2,0.6,1.4,2.8,0.49,0.503,1,1.4,0.701,0.7,1.1,1.7,0.5,0.6,0.1,0.6,1.1,4.5
DEN,AlonzoGee,SF,39,0,13.1,1.7,3.5,0.482,0.3,0.6,1.4,2.9,0.496,0.518,1.2,1.7,0.738,0.7,1.1,1.8,0.5,0.7,0.2,0.6,1.1,4.9
POR,AlonzoGee,SF,15,2,10.1,1.4,3.3,0.429,0.2,0.7,1.2,2.5,0.474,0.459,0.4,0.8,0.5,0.5,1.1,1.6,0.4,0.5,0.1,0.5,1.1,3.4
IND,PaulGeorge,SF,6,0,15.2,3,8.2,0.367,1.5,3.7,1.5,4.5,0.333,0.459,1.3,1.8,0.727,0.7,3,3.7,1,0.8,0.2,2,1.8,8.8
CHI,TajGibson,PF,62,17,27.3,4.1,8.2,0.502,0,0,4.1,8.2,0.502,0.502,2.1,3,0.717,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3
SAS,ManuGinobili,SG,70,0,22.7,3.6,8.4,0.426,1.3,3.7,2.3,4.7,0.489,0.502,2.1,2.9,0.721,0.4,2.6,3,4.2,1,0.3,2.2,2,10.5
UTA,RudyGobert,C,82,37,26.3,3.1,5.2,0.604,0,0,3.1,5.2,0.607,0.604,2.1,3.3,0.623,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4
WAS,DrewGooden,PF,51,7,16.9,2.2,5.4,0.399,0.5,1.2,1.7,4.3,0.401,0.44,0.7,0.9,0.773,1.4,3,4.4,1,0.4,0.2,0.5,1.8,5.4
PHO,ArchieGoodwin,SG,41,2,13,1.9,4.9,0.393,0.3,1,1.6,3.9,0.419,0.423,1.5,2,0.735,0.7,1.1,1.8,1.1,0.4,0.2,1.2,1.3,5.6
ORL,AaronGordon,PF,47,8,17,2,4.4,0.447,0.3,1,1.7,3.4,0.5,0.478,0.9,1.3,0.721,1,2.6,3.6,0.7,0.4,0.5,0.8,1.8,5.2
ORL,BenGordon,SG,56,0,14.1,2.3,5.3,0.437,0.6,1.7,1.7,3.5,0.475,0.497,1,1.2,0.836,0.1,1,1.1,0.9,0.3,0,1,1.1,6.2
PHI,DrewGordon,PF,9,0,7.9,0.9,2.1,0.421,0,0.3,0.9,1.8,0.5,0.421,0.1,0.2,0.5,0.8,1.2,2,0.2,0.1,0,0.9,0.8,1.9
NOP,EricGordon,SG,61,60,33.1,4.7,11.4,0.411,2.3,5.2,2.4,6.2,0.38,0.512,1.8,2.2,0.805,0.5,2.1,2.6,3.8,0.8,0.2,2,2.4,13.4
WAS,MarcinGortat,C,82,82,29.9,5.4,9.5,0.566,0,0,5.4,9.4,0.569,0.566,1.5,2.1,0.703,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2
MIA,DannyGranger,SF,30,6,20.4,2.2,5.4,0.401,1,2.8,1.2,2.6,0.449,0.494,0.9,1.2,0.757,0.7,2,2.7,0.6,0.4,0.2,0.8,2.2,6.3
PHI,JeramiGrant,SF,65,11,21.2,1.9,5.4,0.352,0.8,2.4,1.2,3,0.383,0.422,1.8,3,0.591,0.8,2.3,3,1.2,0.6,1,1.3,2.2,6.3
SAS,DannyGreen,SG,81,80,28.5,4,9.1,0.436,2.4,5.6,1.6,3.5,0.466,0.566,1.4,1.6,0.874,0.7,3.6,4.2,2,1.2,1.1,1.1,2,11.7
GSW,DraymondGreen,PF,79,79,31.5,4.3,9.7,0.443,1.4,4.2,2.9,5.5,0.523,0.516,1.7,2.5,0.66,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7
DEN,ErickGreen,PG,43,1,9.5,1.4,3.8,0.377,0.3,1.1,1.1,2.7,0.409,0.42,0.2,0.3,0.833,0.2,0.6,0.7,0.9,0.3,0,0.3,0.6,3.4
PHO,GeraldGreen,SG,74,4,19.5,4.4,10.5,0.416,1.9,5.2,2.5,5.3,0.478,0.504,1.3,1.6,0.825,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2,11.9
TOT,JaMychalGreen,PF,24,1,6.8,1.1,2,0.574,0,0.3,1.1,1.7,0.659,0.574,0.3,0.4,0.8,0.8,1.1,1.9,0.2,0.2,0.2,0.6,1,2.6
SAS,JaMychalGreen,PF,4,0,6.3,1,1.8,0.571,0,0.5,1,1.3,0.8,0.571,0,0,0,0.8,0.8,1.5,0,0,0.5,0.5,1.5,2
MEM,JaMychalGreen,PF,20,1,7,1.2,2,0.575,0,0.2,1.2,1.8,0.639,0.575,0.4,0.5,0.8,0.8,1.2,2,0.2,0.3,0.2,0.6,1,2.7
TOT,JeffGreen,SF,78,70,31.5,5.3,12.4,0.43,1.2,3.7,4.1,8.7,0.473,0.48,3.1,3.7,0.833,0.8,3.4,4.2,1.7,0.7,0.4,1.4,1.9,15
BOS,JeffGreen,SF,33,33,33.1,6.2,14.4,0.434,1.4,4.7,4.8,9.7,0.495,0.483,3.7,4.4,0.84,0.6,3.6,4.3,1.6,0.8,0.4,1.7,2,17.6
MEM,JeffGreen,SF,45,37,30.2,4.7,10.9,0.427,1.1,3.1,3.6,7.9,0.452,0.478,2.6,3.2,0.825,1,3.2,4.2,1.8,0.6,0.5,1.2,1.8,13.1
ORL,WillieGreen,SG,52,2,18.3,2.3,5.9,0.386,0.8,2.3,1.5,3.6,0.411,0.454,0.5,0.7,0.824,0.3,1.3,1.5,1.3,0.5,0.1,0.9,1.6,5.9
LAC,BlakeGriffin,PF,67,67,35.2,8.6,17.1,0.502,0.1,0.4,8.4,16.7,0.504,0.506,4.6,6.4,0.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9
TOT,JorgeGutierrez,PG,20,1,8.8,1.1,2.1,0.537,0,0.2,1.1,1.9,0.579,0.537,0.5,0.7,0.692,0.3,1,1.3,1.1,0.3,0,0.6,1.3,2.7
BRK,JorgeGutierrez,PG,10,0,4.4,0.7,1.4,0.5,0,0.1,0.7,1.3,0.538,0.5,0.2,0.3,0.667,0,0.7,0.7,0.7,0.1,0,0.3,0.9,1.6
MIL,JorgeGutierrez,PG,10,1,13.1,1.5,2.7,0.556,0,0.2,1.5,2.5,0.6,0.556,0.7,1,0.7,0.5,1.3,1.8,1.5,0.5,0,0.9,1.6,3.7
CHO,P.J.Hairston,SG,45,2,15.3,1.9,6,0.323,1.1,3.6,0.8,2.4,0.358,0.414,0.7,0.8,0.861,0.5,1.6,2,0.5,0.5,0.3,0.5,1.4,5.6
LAC,JordanHamilton,SF,14,2,8.7,1,2.5,0.4,0.7,1.5,0.3,1,0.286,0.543,0,0,0,0.1,1,1.1,0.5,0.1,0,0.3,1,2.7
TOT,JustinHamilton,C,41,14,17.4,2.1,4.3,0.478,0.2,0.8,1.8,3.6,0.51,0.506,1,1.1,0.83,1.4,1.9,3.3,0.9,0.7,0.7,0.6,1.7,5.3
MIA,JustinHamilton,C,24,5,12,1.1,2.7,0.415,0.3,0.8,0.9,1.9,0.457,0.462,0.3,0.3,0.857,1,1,2,0.5,0.3,0.2,0.3,1.4,2.8
MIN,JustinHamilton,C,17,9,24.9,3.4,6.6,0.513,0.2,0.7,3.2,5.9,0.535,0.531,1.9,2.4,0.825,1.9,3.1,5.1,1.4,1.1,1.5,1.1,2.2,9
TOR,TylerHansbrough,PF,74,8,14.3,1.2,2.2,0.521,0,0.1,1.1,2.1,0.538,0.524,1.3,1.9,0.698,1.4,2.1,3.6,0.3,0.4,0.2,0.3,1.9,3.6
NYK,TimHardaway,SG,70,30,24,4,10.2,0.389,1.7,5.1,2.3,5.2,0.435,0.474,1.8,2.2,0.801,0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5
HOU,JamesHarden,SG,81,81,36.8,8,18.1,0.44,2.6,6.9,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7,1.9,0.7,4,2.6,27.4
ORL,MauriceHarkless,SF,45,4,15,1.4,3.5,0.399,0.2,1.2,1.2,2.3,0.52,0.43,0.5,0.9,0.537,0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5
DAL,DevinHarris,PG,76,3,22.2,2.9,6.9,0.418,1.3,3.5,1.6,3.4,0.481,0.509,1.7,2.1,0.815,0.2,1.6,1.8,3.1,1,0.2,1.1,1.9,8.8
DEN,GaryHarris,SG,55,6,13.1,1.2,3.9,0.304,0.4,1.9,0.8,2.1,0.395,0.353,0.6,0.9,0.745,0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4
CLE,JoeHarris,SG,51,1,9.7,0.9,2.4,0.4,0.6,1.6,0.3,0.7,0.472,0.529,0.2,0.3,0.6,0.1,0.7,0.8,0.5,0.1,0,0.5,1.2,2.7
ORL,TobiasHarris,SF,68,63,34.8,6.5,14,0.466,1.3,3.5,5.2,10.4,0.5,0.512,2.8,3.6,0.788,1.1,5.3,6.3,1.8,1,0.5,1.7,2,17.1
MIA,UdonisHaslem,PF,62,25,16,1.7,3.9,0.448,0,0.2,1.7,3.7,0.459,0.452,0.7,1,0.703,1.1,3,4.2,0.7,0.3,0.2,0.7,1.8,4.2
LAC,SpencerHawes,PF,73,15,17.5,2.2,5.7,0.393,0.8,2.4,1.5,3.3,0.452,0.459,0.6,0.9,0.647,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8
TOR,ChuckHayes,C,29,0,8.8,0.8,1.6,0.478,0,0,0.8,1.6,0.478,0.478,0.2,0.4,0.545,0.6,1.1,1.8,0.7,0.3,0.1,0.3,1.3,1.7
UTA,GordonHayward,SF,76,76,34.4,6.4,14.3,0.445,1.6,4.3,4.8,10,0.481,0.5,4.9,6.1,0.812,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3
CLE,BrendanHaywood,C,22,1,5.4,0.6,1.4,0.467,0,0,0.6,1.4,0.467,0.467,0.3,0.6,0.538,0.3,1,1.3,0.1,0.1,0.5,0.5,0.8,1.6
CHO,GeraldHenderson,SG,80,72,28.9,4.6,10.6,0.437,0.6,1.7,4.1,8.9,0.457,0.463,2.3,2.7,0.848,0.5,3,3.4,2.6,0.6,0.3,1.4,1.7,12.1
LAL,XavierHenry,SF,9,0,9.6,0.3,1.4,0.231,0,0,0.3,1.4,0.231,0.231,1.6,2.7,0.583,0.2,0.2,0.4,0.3,0.3,0,0.3,0.7,2.2
MIL,JohnHenson,C,67,11,18.3,2.9,5.2,0.566,0,0,2.9,5.2,0.566,0.566,1.2,2,0.569,1.9,2.8,4.7,0.9,0.4,2,1.3,2.3,7
IND,RoyHibbert,C,76,76,25.3,4.2,9.3,0.446,0,0,4.2,9.3,0.448,0.446,2.2,2.7,0.824,2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6
DEN,J.J.Hickson,C,73,8,19.3,3,6.3,0.475,0,0,3,6.3,0.477,0.475,1.6,2.8,0.577,2.1,4.1,6.2,0.8,0.5,0.5,1.3,1.9,7.6
WAS,NeneHilario,PF,67,58,25.3,4.6,9,0.511,0,0.1,4.6,8.9,0.513,0.512,1.8,3,0.604,1.3,3.9,5.1,1.8,1,0.3,1.9,2.7,11
IND,GeorgeHill,PG,43,36,29.5,5.9,12.4,0.477,1.6,4.5,4.3,8,0.544,0.541,2.6,3.3,0.79,0.6,3.6,4.2,5.1,1,0.3,1.6,2.6,16.1
LAL,JordanHill,C,70,57,26.8,5.1,11.1,0.459,0,0.2,5.1,10.9,0.462,0.461,1.8,2.4,0.738,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12
IND,SolomonHill,SF,82,78,29,3.1,7.7,0.396,0.8,2.5,2.2,5.2,0.43,0.45,1.9,2.4,0.824,0.9,3,3.8,2.2,0.8,0.2,1.4,2.2,8.9
CHI,KirkHinrich,SG,66,22,24.4,2.2,5.8,0.373,0.9,2.5,1.3,3.2,0.394,0.449,0.5,0.8,0.7,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7
NOP,JrueHoliday,PG,40,37,32.6,6,13.4,0.446,1.3,3.4,4.7,10,0.469,0.493,1.6,1.9,0.855,0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8
GSW,JustinHoliday,SG,59,4,11.1,1.5,4,0.387,0.6,1.8,0.9,2.1,0.444,0.462,0.6,0.8,0.822,0.2,1,1.2,0.8,0.7,0.2,0.5,0.9,4.3
SAC,RyanHollins,C,46,9,9.6,1.2,1.8,0.646,0,0,1.2,1.8,0.646,0.646,0.7,1.2,0.574,0.8,1.5,2.2,0.3,0.1,0.4,0.5,1.4,3
UTA,RodneyHood,SG,50,21,21.3,3.1,7.5,0.414,1.2,3.4,1.9,4.1,0.456,0.497,1.2,1.6,0.763,0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,8.7
ATL,AlHorford,C,76,76,30.5,6.8,12.7,0.538,0.1,0.5,6.7,12.2,0.547,0.544,1.4,1.9,0.759,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2
HOU,DwightHoward,C,41,41,29.8,6.1,10.3,0.593,0,0,6.1,10.3,0.594,0.595,3.5,6.6,0.528,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8
LAC,LesterHudson,SG,5,0,11.2,1.2,2.8,0.429,0.6,1.2,0.6,1.6,0.375,0.536,0.6,0.8,0.75,0.2,1.4,1.6,1,1.2,0.2,0.6,0.8,3.6
MIN,RobbieHummel,SF,45,4,16.5,1.8,3.8,0.459,0.4,1.1,1.4,2.7,0.521,0.506,0.5,0.6,0.828,0.7,2.3,3,0.6,0.4,0.2,0.4,1.9,4.4
WAS,KrisHumphries,PF,64,17,21,3.3,7,0.473,0,0.1,3.3,6.9,0.481,0.473,1.4,1.8,0.744,1.8,4.7,6.5,0.9,0.5,0.4,0.7,2,8
OKC,SergeIbaka,PF,64,64,33.1,5.8,12.3,0.476,1.2,3.2,4.6,9.1,0.511,0.525,1.4,1.7,0.836,2.1,5.7,7.8,0.9,0.5,2.4,1.5,3,14.3
GSW,AndreIguodala,SG,77,0,26.9,3,6.4,0.466,1,2.8,2,3.7,0.553,0.54,0.9,1.5,0.596,0.6,2.8,3.3,3,1.2,0.3,1.1,1.3,7.8
MIL,ErsanIlyasova,PF,58,36,22.7,4.5,9.6,0.472,1.3,3.3,3.3,6.3,0.515,0.539,1.2,1.8,0.645,1.4,3.4,4.8,1,0.6,0.3,0.8,2.6,11.5
UTA,JoeIngles,SF,79,32,21.2,1.9,4.5,0.415,0.9,2.6,0.9,1.9,0.493,0.517,0.4,0.5,0.75,0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5
CLE,KyrieIrving,PG,75,75,36.4,7.7,16.5,0.468,2.1,5,5.6,11.4,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7
BRK,JarrettJack,PG,80,27,28,4.5,10.2,0.439,0.5,1.8,4,8.4,0.477,0.463,2.5,2.8,0.881,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12
TOT,ReggieJackson,PG,77,40,29.5,5.6,12.9,0.434,0.9,3.1,4.7,9.8,0.477,0.47,2.4,2.8,0.83,0.7,3.5,4.2,6,0.8,0.1,2.4,2.2,14.5
OKC,ReggieJackson,PG,50,13,28,5,11.5,0.432,0.9,3.2,4.1,8.4,0.49,0.47,2,2.3,0.861,0.6,3.5,4,4.3,0.8,0.1,1.8,1.9,12.8
DET,ReggieJackson,PG,27,27,32.2,6.8,15.6,0.436,1,3.1,5.7,12.5,0.46,0.469,3,3.8,0.796,1,3.6,4.7,9.2,0.7,0.1,3.5,2.7,17.6
DAL,BernardJames,C,16,2,9.9,0.8,1.7,0.444,0,0,0.8,1.7,0.444,0.444,1.3,1.4,0.87,1.1,1.3,2.4,0.3,0.1,0.9,0.4,1.1,2.8
CLE,LeBronJames,SF,69,69,36.1,9,18.5,0.488,1.7,4.9,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3
CHO,AlJefferson,C,65,61,30.6,7.5,15.5,0.481,0,0.1,7.4,15.5,0.482,0.482,1.7,2.5,0.655,1.5,6.9,8.4,1.7,0.7,1.3,1,2.1,16.6
BRK,CoryJefferson,PF,50,1,10.6,1.5,3.3,0.449,0,0.3,1.5,3,0.48,0.455,0.6,1.1,0.574,0.9,2,2.9,0.3,0.2,0.4,0.4,1.2,3.7
DAL,RichardJefferson,SF,74,18,16.8,1.9,4.4,0.444,0.9,2.1,1.1,2.3,0.462,0.546,1.1,1.5,0.684,0.3,2.1,2.5,0.8,0.4,0.1,0.7,1.6,5.8
ATL,JohnJenkins,SG,24,3,12.4,2,4.1,0.495,0.9,2.2,1.2,2,0.596,0.601,0.7,0.8,0.842,0.1,1.5,1.6,0.5,0.4,0,0.3,0.6,5.6
DET,BrandonJennings,PG,41,41,28.6,5.3,13.2,0.401,1.9,5.1,3.5,8.1,0.428,0.471,2.9,3.5,0.839,0.5,2,2.5,6.6,1.1,0.1,2.2,1.6,15.4
TOT,JonasJerebko,PF,75,0,16.4,2.3,5.1,0.446,0.7,1.9,1.5,3.2,0.481,0.517,0.7,0.9,0.848,1.2,2.5,3.8,0.9,0.6,0.2,0.6,1.8,6
DET,JonasJerebko,PF,46,0,15.3,2,4.3,0.46,0.6,1.7,1.4,2.7,0.516,0.53,0.7,0.8,0.861,1,2.1,3.1,0.9,0.6,0.2,0.6,1.7,5.2
BOS,JonasJerebko,PF,29,0,18.2,2.7,6.2,0.431,0.9,2.2,1.8,4,0.444,0.503,0.9,1,0.833,1.6,3.2,4.8,1,0.7,0.2,0.6,2,7.1
TOT,GrantJerrett,PF,8,0,6.4,0.9,3.3,0.269,0.1,1.9,0.8,1.4,0.545,0.288,0.1,0.1,1,0.3,0.9,1.1,0.4,0.3,0.3,0.4,1.4,2
OKC,GrantJerrett,PF,5,0,5,0.6,3.4,0.176,0.2,2.6,0.4,0.8,0.5,0.206,0,0,0,0.2,0.6,0.8,0.2,0,0.4,0.4,1.4,1.4
UTA,GrantJerrett,PF,3,0,8.7,1.3,3,0.444,0,0.7,1.3,2.3,0.571,0.444,0.3,0.3,1,0.3,1.3,1.7,0.7,0.7,0,0.3,1.3,3
TOR,AmirJohnson,PF,75,72,26.4,4,6.9,0.574,0.3,0.6,3.7,6.3,0.59,0.592,1.1,1.7,0.612,2.1,4,6.1,1.6,0.6,0.8,1.5,3,9.3
TOT,ChrisJohnson,SF,29,2,18.1,2.1,5.3,0.403,1,3.3,1.2,2,0.576,0.494,0.5,0.6,0.875,0.3,1.6,1.9,0.5,0.9,0.2,0.5,1.5,5.7
PHI,ChrisJohnson,SF,9,2,20.8,2.1,6.7,0.317,1.1,4.3,1,2.3,0.429,0.4,0.7,0.9,0.75,0.3,2.6,2.9,0.3,1,0.6,1,2.1,6
UTA,ChrisJohnson,SF,12,0,17.6,2.6,5.3,0.484,1.1,3.2,1.5,2.2,0.692,0.586,0.5,0.5,1,0.3,1.3,1.5,0.6,1,0,0.5,1.5,6.8
MIL,ChrisJohnson,SF,8,0,16,1.5,3.8,0.4,0.6,2.3,0.9,1.5,0.583,0.483,0.3,0.3,1,0.3,1.1,1.4,0.6,0.6,0.3,0,0.9,3.9
TOR,JamesJohnson,PF,70,17,19.6,3.4,5.8,0.589,0.2,0.7,3.2,5,0.643,0.603,1,1.5,0.657,0.9,2.8,3.7,1.4,0.8,1,1.1,2.2,7.9
BRK,JoeJohnson,SG,80,80,34.9,5.6,12.8,0.435,1.5,4.2,4.1,8.6,0.472,0.494,1.8,2.2,0.801,0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,14.4
HOU,NickJohnson,SG,28,0,9.4,0.9,2.7,0.347,0.2,0.8,0.8,1.9,0.389,0.38,0.6,0.9,0.68,0.5,0.9,1.4,0.4,0.3,0.1,0.7,1.2,2.6
MIA,TylerJohnson,SG,32,2,18.8,2.2,5.2,0.419,0.6,1.5,1.6,3.7,0.437,0.473,1,1.5,0.681,0.4,2.1,2.5,1.3,1,0.3,0.9,1.3,5.9
LAL,WesleyJohnson,SF,76,59,29.5,3.8,9.1,0.414,1.2,3.4,2.6,5.7,0.451,0.48,1.2,1.5,0.804,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9
LAC,DahntayJones,SF,33,0,3.7,0.2,0.6,0.286,0,0.1,0.2,0.5,0.353,0.286,0.3,0.3,0.818,0,0.3,0.3,0.1,0.1,0,0,0.7,0.6
CLE,JamesJones,SF,57,2,11.7,1.3,3.5,0.368,1.1,3.1,0.2,0.5,0.423,0.525,0.7,0.8,0.848,0.2,0.9,1.1,0.4,0.2,0.1,0.2,1.2,4.4
OKC,PerryJones,SF,43,13,14.7,1.7,4.3,0.397,0.3,1.4,1.4,2.9,0.476,0.435,0.6,0.9,0.649,0.1,1.6,1.8,0.4,0.4,0.2,0.6,1.2,4.3
HOU,TerrenceJones,PF,33,24,26.9,4.8,9.1,0.528,0.4,1.1,4.4,7.9,0.553,0.55,1.7,2.8,0.606,2.4,4.3,6.7,1.1,0.5,1.8,1.1,2.4,11.7
LAC,DeAndreJordan,C,82,82,34.4,4.6,6.5,0.71,0,0,4.6,6.5,0.713,0.711,2.3,5.7,0.397,4.8,10.1,15,0.7,1,2.2,1.3,3,11.5
BRK,JeromeJordan,C,44,0,8.7,1.1,2.1,0.532,0,0,1.1,2.1,0.532,0.532,0.9,1,0.864,1.2,1.2,2.4,0.3,0.2,0.3,0.5,1.3,3.1
SAS,CoryJoseph,PG,79,14,18.3,2.6,5.2,0.504,0.2,0.6,2.4,4.6,0.52,0.523,1.3,1.8,0.734,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8
POR,ChrisKaman,C,74,13,18.9,3.8,7.4,0.515,0,0,3.8,7.4,0.515,0.515,1,1.4,0.706,2,4.5,6.5,0.9,0.2,0.7,1.5,1.9,8.6
TOT,EnesKanter,C,75,74,28.5,6.4,12.4,0.519,0.2,0.6,6.2,11.8,0.528,0.528,2.4,3.1,0.782,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5
UTA,EnesKanter,C,49,48,27.1,5.8,11.9,0.491,0.3,0.8,5.6,11,0.505,0.503,1.9,2.4,0.788,3,4.8,7.8,0.5,0.5,0.3,1.9,2.3,13.8
OKC,EnesKanter,C,26,26,31.1,7.5,13.3,0.566,0.1,0.2,7.4,13.2,0.564,0.571,3.5,4.5,0.776,5,6,11,1.1,0.5,0.5,2,2.9,18.7
BRK,SergeyKarasev,SG,33,16,16.8,1.6,4.1,0.403,0.5,1.6,1.2,2.4,0.475,0.463,0.9,1.2,0.763,0.7,1.3,2,1.4,0.7,0,0.7,1.4,4.6
LAL,RyanKelly,PF,52,34,23.7,2,5.9,0.337,0.9,2.6,1.1,3.4,0.337,0.409,1.5,1.8,0.832,0.3,2.6,2.8,1.8,0.6,0.5,0.7,2.3,6.4
