Date,<22,22-24,25-34,35-44,45-54,55-59,60-64,>=65,Total,<22%,22-24%,25-34%,35-44%,45-54%,55-59%,60-64%,>=65%,<22C,22-24C,25-34C,35-44C,45-54C,55-59C,60-64C,>=65C,INA,FEMALE,MALE,Total,FEMALE%,MALE%,"Arts, Entertainment & Recreation"
7/31/10,737,1785,8484,8011,8712,3829,2427,1826,35811,2.058026863,4.984501969,23.69104465,22.37022144,24.32772053,10.6922454,6.777247215,5.09899193,0,737,2522,11006,19017,27729,31558,33985,37,19473,16303,35776,54.43034436,45.56965564,423
8/31/10,683,1644,7647,7303,7911,3500,1989,1297,31974,2.13611059,5.141677613,23.916307,22.84043285,24.74197786,10.94639395,6.220679302,4.056420842,0,683,2327,9974,17277,25188,28688,30677,26,15902,16047,31949,49.77307584,50.22692416,352
9/30/10,675,1683,7389,6967,7381,3263,1954,1292,30604,2.20559404,5.49928114,24.14390276,22.76499804,24.11776238,10.66200497,6.384786302,4.22167037,0,675,2358,9747,16714,24095,27358,29312,50,15102,15453,30555,49.42562592,50.57437408,393
10/31/10,767,1714,7727,7275,7795,3437,2099,1442,32256,2.377852183,5.313740079,23.95523313,22.55394345,24.16604663,10.65538194,6.507316468,4.470486111,0,767,2481,10208,17483,25278,28715,30814,63,15158,17036,32194,47.08330745,52.91669255,635
11/30/10,912,1987,8773,7977,8735,3806,2218,1591,35999,2.533403706,5.519597767,24.37012139,22.15894886,24.2645629,10.5725159,6.161282258,4.41956721,0,912,2899,11672,19649,28384,32190,34408,64,14972,20963,35935,41.66411576,58.33588424,917
12/31/10,753,2368,11505,11333,11856,5541,3422,2689,49467,1.522226939,4.787029737,23.25792953,22.91022298,23.96749348,11.201407,6.917743142,5.435947197,0,753,3121,14626,25959,37815,43356,46778,62,17455,31950,49405,35.33043214,64.66956786,1819
1/31/11,841,2182,10792,10392,11699,5214,3202,2494,46816,1.796394395,4.660799727,23.05194805,22.1975393,24.98931989,11.13721805,6.839542037,5.327238551,0,841,3023,13815,24207,35906,41120,44322,58,16820,29940,46760,35.97091531,64.02908469,1850
2/28/11,593,1741,9107,9034,9925,4564,2815,1996,39775,1.490886235,4.377121307,22.89629164,22.71275927,24.95285984,11.47454431,7.077309868,5.01822753,0,593,2334,11441,20475,30400,34964,37779,46,15174,24555,39729,38.19376274,61.80623726,1050
3/31/11,416,1283,7034,6816,7477,3515,2133,1347,30021,1.385696679,4.273675094,23.43026548,22.70410713,24.9058992,11.70847074,7.105026481,4.486859199,0,416,1699,8733,15549,23026,26541,28674,56,13231,16734,29965,44.15484732,55.84515268,452
4/30/11,402,1144,6467,6180,6881,3259,2128,1267,27728,1.449798038,4.125793422,23.32299481,22.28793999,24.8160704,11.7534622,7.674552799,4.569388344,0,402,1546,8013,14193,21074,24333,26461,45,13113,14570,27683,47.36842105,52.63157895,340
