Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
472,0.06,Energy,0,0,0,0,0.01,,,,,,,,
472,0.06,Energy,0,0,0,0,0.01,,,,,,,,
477,0.05,Energy,0,0.04,0,0,0.01,,,,,,,,
478,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
479,0.05,Energy,0,0,0,0,0.05,,,,,,,,
488,0.05,Energy,0,0,0,0,0.05,,,,,,,,
488,0.05,Energy,0,0,0,0,0.05,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
494,0.01,Energy,0,0,0,0,0.01,,,,,,,,
156,0.44,Financials,0.04,0.04,0.04,0.02,0.1,,,,,,,,
168,0.43,Financials,0.05,0.04,0.03,0.01,0.1,,,,,,,,
210,0.38,Financials,0.02,0.03,0.01,0.02,0.1,,,,,,,,
214,0.38,Financials,0.02,0.03,0.02,0.01,0.1,,,,,,,,
229,0.36,Financials,0.02,0.03,0.02,0.06,0.09,,,,,,,,
241,0.35,Financials,0.01,0.03,0,0.01,0.1,,,,,,,,
261,0.31,Financials,0.03,0.03,0,0,0.1,,,,,,,,
283,0.28,Financials,0,0.03,0,0,0.1,,,,,,,,
306,0.25,Financials,0,0.01,0,0,0.08,,,,,,,,
424,0.11,Financials,0,0,0,0,0.11,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
460,0.1,Financials,0,0,0,0,0.1,,,,,,,,
31,0.66,Financials,0.11,0.07,0.08,0.11,0.1,,,,,,,,
47,0.63,Financials,0.11,0.06,0.1,0.07,0.1,,,,,,,,
131,0.5,Financials,0.04,0.04,0,0.12,0.1,,,,,,,,
161,0.44,Financials,0.01,0.02,0.05,0.06,0.1,,,,,,,,
183,0.4,Financials,0.06,0.04,0.06,0.09,0.1,,,,,,,,
274,0.29,Financials,0,0.09,0,0,0.1,,,,,,,,
287,0.28,Financials,0,0.08,0,0,0.1,,,,,,,,
308,0.24,Financials,0.01,0.03,0.01,0,0.1,,,,,,,,
316,0.23,Financials,0.05,0.03,0,0,0.1,,,,,,,,
348,0.19,Financials,0.06,0.02,0.01,0,0.1,,,,,,,,
383,0.15,Financials,0,0,0,0,0.1,,,,,,,,
427,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
428,0.1,Financials,0,0,0,0,0.1,,,,,,,,
458,0.1,Financials,0,0,0,0,0.1,,,,,,,,
463,0.09,Financials,0,0,0,0,0.09,,,,,,,,
